2.368435	2.368435	
15.348390	15.348390	
20.480000	20.480000	
34.435193	34.435193	
45.464671	45.464671	
49.899683	49.899683	
61.071242	61.071242	
72.237279	72.237279	
83.913282	83.913282	
88.514467	88.514467	
98.499048	98.499048	
105.488254	105.488254	
118.003810	118.003810	
124.946576	124.946576	
132.516281	132.516281	
140.457506	140.457506	
150.163447	150.163447	
161.448345	161.448345	
175.380317	175.380317	
185.480998	185.480998	
192.098685	192.098685	
199.923810	199.923810	
214.281837	214.281837	
228.447942	228.447942	
234.033923	234.033923	
242.160907	242.160907	
253.863764	253.863764	
263.476825	263.476825	
280.961451	280.961451	
287.137959	287.137959	
296.867120	296.867120	
309.475556	309.475556	
323.314649	323.314649	
332.045351	332.045351	
340.497415	340.497415	
356.588844	356.588844	
368.291701	368.291701	
382.154014	382.154014	
391.697415	391.697415	
404.584490	404.584490	
413.547392	413.547392	
422.905034	422.905034	
434.097052	434.097052	
438.206984	438.206984	
445.660590	445.660590	
456.434649	456.434649	
462.704036	462.704036	
469.089524	469.089524	
475.266032	475.266032	
481.512200	481.512200	
489.869638	489.869638	
498.716441	498.716441	
511.324876	511.324876	
